# Statistical data for: no prefix
# Data format for populations:
# auto generated | custom defined | average | variance | std dev | min | max 
0 1  0.260986 0.00728968 0.0853796 0.170898 2.59033  # Based on 1739 samples
1 2  0.266431 0.00711952 0.0843772 0.167969 2.52979  # Based on 1740 samples
2 4  0.26533 0.00604914 0.0777762 0.170898 2.32007  # Based on 1740 samples
3 8  0.266157 0.00727987 0.0853221 0.173096 2.53003  # Based on 1740 samples
4 16  0.251979 0.00642043 0.0801276 0.179199 2.54102  # Based on 1740 samples
5 32  0.232197 0.01104 0.105071 0.0930176 4.79004  # Based on 3480 samples
6 64  0.201468 0.011203 0.105844 0.0900879 4.85303  # Based on 3480 samples
7 128  0.186549 0.0113835 0.106694 0.0898438 4.96875  # Based on 3480 samples
8 256  0.186454 0.0145183 0.120492 0.0839844 8.50513  # Based on 8700 samples
9 512  0.183725 0.119457 0.345625 0.0839844 21.6909  # Based on 8700 samples
# avg variance = 0.020176  |  avg std dev = 0.119671
